"Year","County","Subject","AgeGroup","ResultsThreshold","TotalResultsCounty","PercentageResultsThresholdCounty","PercentageResultsThresholdEng"
2023,"Bedfordshire","English language","Aged 17 to 19","4 and above","  1,310","16.4","22.9"
2023,"Berkshire","English language","Aged 17 to 19","4 and above","  1,950","25.6","22.9"
2023,"Buckinghamshire","English language","Aged 17 to 19","4 and above","  1,260","34.1","22.9"
2023,"Cambridgeshire","English language","Aged 17 to 19","4 and above","  1,435","22","22.9"
2023,"Cheshire","English language","Aged 17 to 19","4 and above","  1,945","17.7","22.9"
2023,"Cornwall","English language","Aged 17 to 19","4 and above","    615","21.1","22.9"
2023,"County of Bristol","English language","Aged 17 to 19","4 and above","    685","19.7","22.9"
2023,"Cumbria","English language","Aged 17 to 19","4 and above","    800","17.5","22.9"
2023,"Derbyshire","English language","Aged 17 to 19","4 and above","  1,735","22.2","22.9"
2023,"Devon","English language","Aged 17 to 19","4 and above","  1,715","25.1","22.9"
2023,"Dorset","English language","Aged 17 to 19","4 and above","    660","25.8","22.9"
2023,"Durham","English language","Aged 17 to 19","4 and above","  1,310","21","22.9"
2023,"East Riding of Yorkshire","English language","Aged 17 to 19","4 and above","  1,090","15.1","22.9"
2023,"East Sussex","English language","Aged 17 to 19","4 and above","  1,340","24.3","22.9"
2023,"Essex","English language","Aged 17 to 19","4 and above","  3,105","20.8","22.9"
2023,"Gloucestershire","English language","Aged 17 to 19","4 and above","  1,250","29.6","22.9"
2023,"Greater London","English language","Aged 17 to 19","4 and above"," 16,165","27.1","22.9"
2023,"Greater Manchester","English language","Aged 17 to 19","4 and above","  6,670","21.1","22.9"
2023,"Hampshire","English language","Aged 17 to 19","4 and above","  2,890","25.1","22.9"
2023,"Herefordshire","English language","Aged 17 to 19","4 and above","    390","21.8","22.9"
2023,"Hertfordshire","English language","Aged 17 to 19","4 and above","  2,000","22.5","22.9"
2023,"Isle of Wight","English language","Aged 17 to 19","4 and above","    280","23.2","22.9"
2023,"Kent","English language","Aged 17 to 19","4 and above","  2,930","24.1","22.9"
2023,"Lancashire","English language","Aged 17 to 19","4 and above","  2,620","30.5","22.9"
2023,"Leicestershire","English language","Aged 17 to 19","4 and above","  1,755","28.5","22.9"
2023,"Lincolnshire","English language","Aged 17 to 19","4 and above","  2,320","18.3","22.9"
2023,"Merseyside","English language","Aged 17 to 19","4 and above","  2,945","20","22.9"
2023,"Norfolk","English language","Aged 17 to 19","4 and above","  1,375","25.1","22.9"
2023,"North Yorkshire","English language","Aged 17 to 19","4 and above","  1,965","20.9","22.9"
2023,"Northamptonshire","English language","Aged 17 to 19","4 and above","  1,625","20.3","22.9"
2023,"Northumberland","English language","Aged 17 to 19","4 and above","    380","15.8","22.9"
2023,"Nottinghamshire","English language","Aged 17 to 19","4 and above","  2,635","19.9","22.9"
2023,"Oxfordshire","English language","Aged 17 to 19","4 and above","  1,195","28.9","22.9"
2023,"Rutland","English language","Aged 17 to 19","4 and above","fewer than 25","100","22.9"
2023,"Shropshire","English language","Aged 17 to 19","4 and above","    570","28.1","22.9"
2023,"Somerset","English language","Aged 17 to 19","4 and above","  1,220","28.7","22.9"
2023,"South Yorkshire","English language","Aged 17 to 19","4 and above","  3,230","14.4","22.9"
2023,"Staffordshire","English language","Aged 17 to 19","4 and above","  2,320","17.5","22.9"
2023,"Suffolk","English language","Aged 17 to 19","4 and above","  1,045","26.8","22.9"
2023,"Surrey","English language","Aged 17 to 19","4 and above","  1,540","24.7","22.9"
2023,"Tyne and Wear","English language","Aged 17 to 19","4 and above","  1,955","17.1","22.9"
2023,"Warwickshire","English language","Aged 17 to 19","4 and above","  1,135","21.1","22.9"
2023,"West Midlands","English language","Aged 17 to 19","4 and above","  7,170","24.3","22.9"
2023,"West Sussex","English language","Aged 17 to 19","4 and above","  1,490","19.8","22.9"
2023,"West Yorkshire","English language","Aged 17 to 19","4 and above","  5,840","20.5","22.9"
2023,"Wiltshire","English language","Aged 17 to 19","4 and above","  1,030","18.9","22.9"
2023,"Worcestershire","English language","Aged 17 to 19","4 and above","  1,020","20.6","22.9"
