County,Total_children_2018,Total_children_2024,Weighted_percentage_2018,Weighted_percentage_2024,GCSE_County
Aberdeen City,4401.0,3637.0,0.16455305612360827,0.12949931262029143,Aberdeen City
Aberdeenshire,4272.0,3625.0,0.10313459737827715,0.08498344827586207,Aberdeenshire
Adur,1356.0,1509.0,0.13026696165191742,0.14985089463220677,Adur
Amber Valley,2863.0,3815.0,0.15452706950750963,0.21033787680209698,Derbyshire
Angus,2814.0,2444.0,0.1612366737739872,0.1574238952536825,Angus
Argyll and Bute,1802.0,1451.0,0.14810377358490565,0.12279531357684355,Argyll and Bute
Arun,3226.0,3719.0,0.13451115933044017,0.1608327507394461,Arun
Ashfield,4417.0,5657.0,0.20080235453928005,0.26602527841612156,Nottinghamshire
Ashford,3592.0,3981.0,0.15834771714922052,0.17272243154986183,Ashford
Babergh,1973.0,2193.0,0.14085707045108972,0.15903511171910625,Babergh
Barking and Dagenham,10791.0,12650.0,0.18835260865536094,0.22638845849802375,Barking and Dagenham
Barnet,7935.0,9097.0,0.11527977315689983,0.13350203363746288,Barnet
Barnsley,9256.0,12000.0,0.2238170916162489,0.2879400833333333,South Yorkshire
Basildon,5829.0,6553.0,0.17776960027448963,0.19405417366091868,Basildon
Basingstoke and Deane,2667.0,3538.0,0.08703487064116985,0.11404578858111927,Basingstoke and Deane
Bassetlaw,3626.0,5055.0,0.19852619966905677,0.2705370919881306,Nottinghamshire
Bath and North East Somerset,2638.0,3157.0,0.09759704321455646,0.11814127336078555,Bath and North East Somerset
Bedford,5330.0,6452.0,0.19438442776735462,0.22338329200247986,Bedfordshire
Bexley,5312.0,5918.0,0.11481513554216868,0.13100811084825956,Bexley
Birmingham,80970.0,95884.0,0.3686027170556997,0.4408773935171666,West Midlands
Blaby,2085.0,2553.0,0.12105899280575538,0.13955307481394438,Leicestershire
Blackburn with Darwen,11238.0,13334.0,0.3642223705285638,0.43252617369131546,Lancashire
Blackpool,5529.0,7717.0,0.23850244167118828,0.33394401969677334,Lancashire
Blaenau Gwent,2785.0,3232.0,0.24723698384201076,0.2826986386138614,Blaenau Gwent
Bolsover,2494.0,3404.0,0.19562469927826784,0.25323413631022323,Derbyshire
Bolton,17285.0,22105.0,0.3549369973965866,0.41096371861569775,Greater Manchester
Boston,2697.0,3677.0,0.22809454949944385,0.29257982050584724,Lincolnshire
"Bournemouth, Christchurch and Poole",7632.0,9176.0,0.12617911425576522,0.15383947253705318,"Bournemouth, Christchurch and Poole"
Bracknell Forest,1822.0,2128.0,0.08679034028540066,0.0989234022556391,Bracknell Forest
Bradford,43268.0,50286.0,0.426429023758898,0.48646619337390123,West Yorkshire
Braintree,3265.0,3892.0,0.12291516079632465,0.14494630010277493,Braintree
Breckland,3514.0,4389.0,0.16063261240751284,0.19946844383686488,Breckland
Brent,9136.0,11044.0,0.13650065674255693,0.1781406193408185,Brent
Brentwood,1202.0,1288.0,0.09333943427620632,0.09897437888198758,Brentwood
Bridgend,4167.0,4915.0,0.17569546436285097,0.21422706002034586,Bridgend
Brighton and Hove,5081.0,4908.0,0.13134028734501085,0.14317359413202937,Brighton and Hove
"Bristol, City of",14027.0,16197.0,0.20764447137663078,0.25887034636043715,"Bristol, City of"
Broadland,2230.0,2620.0,0.11115112107623319,0.13029083969465646,Broadland
Bromley,5183.0,5354.0,0.09117634574570711,0.10383190138214418,Bromley
Bromsgrove,1587.0,1976.0,0.12213043478260872,0.15225404858299593,Worcestershire
Broxbourne,2210.0,2436.0,0.1185398190045249,0.1325008210180624,Broxbourne
Broxtowe,2570.0,3047.0,0.15963774319066149,0.19295831965868068,Nottinghamshire
Buckinghamshire,10450.0,12250.0,0.13547789473684213,0.161569306122449,Buckinghamshire
Burnley,5302.0,6965.0,0.3653057336854017,0.4242950466618808,Lancashire
Bury,7638.0,9957.0,0.23678174914899186,0.30541588831977506,Greater Manchester
Caerphilly,6348.0,6717.0,0.2014910207939509,0.22341119547417,Caerphilly
Calderdale,8786.0,10802.0,0.2938784429774642,0.3553634512127383,West Yorkshire
Cambridge,2268.0,2409.0,0.13439241622574954,0.13589580738895804,Cambridge
Camden,4679.0,5472.0,0.16315793973071172,0.22155281432748533,Camden
Cannock Chase,2977.0,3768.0,0.1845428283506886,0.2271247346072187,Staffordshire
Canterbury,3272.0,3893.0,0.14046974327628362,0.16448445928589778,Canterbury
Cardiff,12252.0,13501.0,0.23148857329415604,0.25857654988519363,Cardiff
Carmarthenshire,6060.0,6785.0,0.19589405940594062,0.2225469417833456,Carmarthenshire
Castle Point,1899.0,2093.0,0.13716745655608215,0.15466602962255135,Castle Point
Central Bedfordshire,5202.0,6576.0,0.10759111880046138,0.12377889294403893,Bedfordshire
Ceredigion,2110.0,2358.0,0.21191090047393368,0.24633078880407128,Ceredigion
Charnwood,3996.0,4785.0,0.1741509009009009,0.1897377220480669,Leicestershire
Chelmsford,3024.0,3388.0,0.09939120370370372,0.10861835891381347,Chelmsford
Cheltenham,2418.0,3013.0,0.15843837882547562,0.21012545635579155,Cheltenham
Cherwell,2952.0,3443.0,0.12546815718157184,0.13696979378449026,Cherwell
Cheshire East,7143.0,9351.0,0.13415763684726306,0.17782611485402633,Cheshire
Cheshire West and Chester,7053.0,9355.0,0.13565475684106054,0.17905975414216996,Cheshire
Chesterfield,3123.0,3863.0,0.1977560038424592,0.24875122961428942,Derbyshire
Chichester,1908.0,2352.0,0.10633280922431866,0.1329077380952381,Chichester
Chorley,2387.0,3028.0,0.1344528697109342,0.1669818361955086,Lancashire
City of Edinburgh,8056.0,7428.0,0.11923783515392253,0.11395247711362412,City of Edinburgh
Clackmannanshire,1640.0,1544.0,0.19049268292682928,0.18896113989637303,Clackmannanshire
Colchester,4090.0,5062.0,0.12957188264058678,0.15541821414460688,Colchester
Conwy,3229.0,3746.0,0.18305574481263545,0.21939855846235987,Conwy
Cornwall,15448.0,18199.0,0.17501385292594515,0.20771190724765098,Cornwall
Cotswold,1284.0,1457.0,0.09759890965732086,0.11433356211393274,Cotswold
County Durham,17136.0,21682.0,0.21099953314659195,0.2685207545429389,County Durham
Coventry,14701.0,17534.0,0.26264465002380794,0.2938696247290977,West Midlands
Crawley,3250.0,4650.0,0.14302707692307692,0.20152559139784948,Crawley
Croydon,9853.0,12330.0,0.12991170201968943,0.17289537712895375,Croydon
Cumberland,7179.0,8542.0,0.16719974926870038,0.21205431983142126,Cumbria
Dacorum,2886.0,3322.0,0.11281704781704781,0.12773239012642987,Dacorum
Darlington,3871.0,4769.0,0.23118212348230427,0.30644160201300064,County Durham
Dartford,2820.0,3530.0,0.14022659574468083,0.1590362606232294,Dartford
Denbighshire,2777.0,3667.0,0.1828091465610371,0.25645432233433324,Denbighshire
Derby,12761.0,15103.0,0.3335291905023117,0.37052367079388204,Derbyshire
Derbyshire Dales,1265.0,1294.0,0.12858260869565216,0.1329258114374034,Derbyshire
Doncaster,13581.0,17559.0,0.26142235476032694,0.3364949598496497,South Yorkshire
Dorset,6958.0,8363.0,0.12738301235987354,0.15543417433935192,Dorset
Dover,3478.0,4026.0,0.1953438757906843,0.22033556880278193,Dover
Dudley,13047.0,16248.0,0.2448379704146547,0.2982194116198917,West Midlands
Dumfries and Galloway,3885.0,3397.0,0.1729263835263835,0.15933676773623787,Dumfries and Galloway
Dundee City,4230.0,3548.0,0.1958931442080378,0.16497012401352873,Dundee City
Ealing,8874.0,10126.0,0.1334949290060852,0.16124718546316413,Ealing
East Ayrshire,3853.0,3240.0,0.1935452893848949,0.170458024691358,East Ayrshire
East Cambridgeshire,1516.0,1754.0,0.09387269129287598,0.11490022805017104,East Cambridgeshire
East Devon,2801.0,3252.0,0.1340760442699036,0.15439206642066422,East Devon
East Dunbartonshire,1481.0,1244.0,0.08790749493585413,0.07239790996784566,East Dunbartonshire
East Hampshire,1700.0,2099.0,0.08940588235294117,0.10831348261076704,East Hampshire
East Hertfordshire,1790.0,2134.0,0.06691675977653631,0.07935192127460168,East Hertfordshire
East Lindsey,4413.0,5424.0,0.23376795830500796,0.28758130530973447,Lincolnshire
East Lothian,2293.0,1834.0,0.1278512865242041,0.0964492911668484,East Lothian
East Renfrewshire,1483.0,1325.0,0.09833917734322319,0.08062264150943396,East Renfrewshire
East Riding of Yorkshire,8015.0,9542.0,0.18426512788521518,0.22423904841752257,East Riding of Yorkshire
East Staffordshire,4310.0,5869.0,0.2515735498839907,0.3220674731640825,Staffordshire
East Suffolk,5863.0,7317.0,0.16824833702882486,0.21897252972529724,East Suffolk
Eastbourne,2647.0,2921.0,0.15821118247072155,0.17767750770284152,Eastbourne
Eastleigh,1989.0,2540.0,0.08923931623931626,0.10733346456692913,Eastleigh
Elmbridge,1391.0,1660.0,0.058888569374550684,0.07334397590361447,Elmbridge
Enfield,9744.0,10509.0,0.14268811576354679,0.1690636597202398,Enfield
Epping Forest,2602.0,2957.0,0.11732321291314372,0.13427832262428138,Epping Forest
Epsom and Ewell,865.0,1021.0,0.06721387283236993,0.07919784524975514,Epsom and Ewell
Erewash,2864.0,3378.0,0.15633379888268154,0.19316992303137948,Derbyshire
Exeter,2472.0,2837.0,0.14002224919093847,0.16094536482199506,Exeter
Falkirk,4154.0,3806.0,0.15861049590755896,0.15040331056227008,Falkirk
Fareham,1487.0,1644.0,0.08641223940820444,0.10393856447688568,Fareham
Fenland,3310.0,4109.0,0.20318036253776436,0.24823874422000486,Fenland
Fife,10935.0,8913.0,0.18752437128486513,0.159187927745989,Fife
Flintshire,3928.0,4572.0,0.16740096741344196,0.1995444006999125,Flintshire
Folkestone and Hythe,2844.0,3467.0,0.17119479606188467,0.20641995961926735,Folkestone and Hythe
Forest of Dean,1976.0,2608.0,0.1475571862348178,0.1939171779141104,Forest of Dean
Fylde,1398.0,1997.0,0.12342846924177396,0.17690886329494243,Lancashire
Gateshead,6191.0,8254.0,0.19576255855273783,0.2708434698328084,Tyne and Wear
Gedling,2822.0,3418.0,0.15287703756201276,0.1900901111761264,Nottinghamshire
Glasgow City,23298.0,21278.0,0.2645864881105674,0.24311664630134416,Glasgow City
Gloucester,4092.0,5066.0,0.1910662267839687,0.23898835373075403,Gloucester
Gosport,2008.0,2351.0,0.14606523904382468,0.18345852828583584,Gosport
Gravesham,3456.0,3899.0,0.17386863425925925,0.1940459092074891,Gravesham
Great Yarmouth,3739.0,4520.0,0.23964322011232952,0.3056471238938054,Great Yarmouth
Greenwich,9060.0,10441.0,0.16162008830022076,0.19709223254477543,Greenwich
Guildford,1743.0,1958.0,0.08437923121055652,0.10341981613891726,Guildford
Gwynedd,3691.0,3899.0,0.20473801137903008,0.22631341369581945,Gwynedd
Hackney,8381.0,10383.0,0.15850029829375972,0.22008070885100645,Hackney
Halton,3877.0,5191.0,0.17608176425070934,0.2466505490271624,Cheshire
Hammersmith and Fulham,2833.0,3334.0,0.1160758912813272,0.14502369526094783,Hammersmith and Fulham
Harborough,1372.0,1774.0,0.0904161807580175,0.11143235625704621,Leicestershire
Haringey,7461.0,8003.0,0.16715065004691063,0.19871760589778834,Haringey
Harlow,2997.0,3843.0,0.16231631631631632,0.20004970075461878,Harlow
Harrow,5569.0,7287.0,0.1169188364158736,0.15384451763414297,Harrow
Hart,1064.0,1154.0,0.06228195488721804,0.06583882149046794,Hart
Hartlepool,3979.0,4728.0,0.25266624780095503,0.3021546108291032,County Durham
Hastings,3337.0,3690.0,0.20925082409349716,0.24801192411924122,Hastings
Havant,3102.0,3829.0,0.16064732430689874,0.2009166884303996,Havant
Havering,5679.0,6755.0,0.12296443035745729,0.14219245003700962,Havering
"Herefordshire, County of",4540.0,5438.0,0.16000286343612335,0.20234130194924607,Herefordshire
Hertsmere,1728.0,2161.0,0.08912037037037036,0.11242480333179085,Hertsmere
High Peak,1913.0,2255.0,0.14529482488238366,0.18080576496674056,Derbyshire
Highland,5031.0,4514.0,0.13644444444444445,0.1287233052724856,Highland
Hillingdon,7468.0,9350.0,0.12903334226031068,0.16453550802139033,Hillingdon
Hinckley and Bosworth,2336.0,2973.0,0.1288099315068493,0.16366431214261687,Leicestershire
Horsham,1710.0,2230.0,0.07336608187134502,0.0911322869955157,Horsham
Hounslow,7098.0,8641.0,0.12873908143138912,0.15837194769123944,Hounslow
Huntingdonshire,3390.0,3934.0,0.12123893805309735,0.13242984239959327,Huntingdonshire
Hyndburn,4832.0,6130.0,0.36688120860927154,0.43125660685154976,Lancashire
Inverclyde,1613.0,1589.0,0.13146435213887167,0.13825424795468852,Inverclyde
Ipswich,6035.0,6990.0,0.2337814415907208,0.28168140200286124,Ipswich
Isle of Anglesey,2252.0,2518.0,0.200892539964476,0.23164892772041304,Isle of Anglesey
Isle of Wight,3634.0,4303.0,0.18164281783159053,0.22004369044852426,Isle of Wight
Islington,4441.0,5634.0,0.13563566764242288,0.18118654597089104,Islington
Kensington and Chelsea,1563.0,1741.0,0.10584964811260397,0.12186272257323379,Kensington and Chelsea
